what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1626105869544
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626105878968
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626105879008
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1626105880220
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626105880540
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1626105884396
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626105884676
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1626105885607
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626105885828
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1626105886599
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626105901280
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626105901400
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626105901420
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626105904324
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626105904515
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1626105906347
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626105910653
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1626105913117
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626105933326
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1626105936460
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626105957741
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626105957861
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626105957881
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626105960305
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626105960425
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1626105967415
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626105967745
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1626105973974
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626105990749
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1626106003577
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626106006331
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1626106008905
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626106009235
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1626106022554
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626106027011
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1626106028433
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626106028823
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1626106038006
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626106038387
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1626106041461
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626106041872
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1626106047891
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626106050124
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1626106052517
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626106052928
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1626106080347
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1626106274016
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626106274386
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626106277931
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626106295717
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1626106301545
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626106302557
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1626106307554
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1626106312601
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1626106346039
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1626106348793
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626106360520
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626106364536
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1626106373789
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1626106386137
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626106397994
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626106408219
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1626106416270
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626106418964
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1626106425824
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1626106436710
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1626106454746
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1626106462567
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1626106464950
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1626106466843
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1626106468385
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1626106469297
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1626106470328
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1626106483627
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626106489315
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626106627925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626108078521
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626108078521
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626108078901
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626108080193
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626108080584
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626110116351
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626115937231
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626115949919
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626116794864
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1626116796877
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626116816085
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626116816125
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1626116825949
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626116848381
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626119853537
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626119854959
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626120780110
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1626120785958
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626120822551
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626120822581
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1626120871051
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626120890959
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626120890959
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626120891099
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626121183154
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626121190896
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626121190936
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626121219937
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626121225455
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626121227408
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626121234368
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626121449437
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626121449487
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626121452402
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1626121464829
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1626121464920
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1626121464990
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1626121465000
executed,command,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors.lineNumberToggle",1626121465891
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626121487141
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626121509874
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626121513610
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626121514361
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626121514361
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626121519057
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1626121522122
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626121522132
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openFileSearchPage",1626121522142
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626121522392
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1626121524085
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626121528491
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1626121529963
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626121530173
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1626121531205
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1626121531465
